"phi","n","blksize","CI","target","cov","LB","UB"
-0.2,100,10,"stdCI","phi",0.913,0.907264911983642,0.918415036075354
-0.2,100,10,"stuCI","phi",0.9479,0.943317893376994,0.952134175942345
-0.2,100,10,"pctCI","phi",0.945,0.940306490212699,0.949347930534741
-0.2,100,10,"ctrCI","phi",0.8521,0.844955976094995,0.858971669790324
-0.2,100,10,"bcCI","phi",0.8773,0.870673117806318,0.883634864972708
-0.2,100,10,"bcaCI","phi",0.8721,0.865359883043963,0.878552163464399
-0.2,100,10,"propCI","phi",0.9198,0.914262572622553,0.925011996077683
-0.2,100,5,"stdCI","phi",0.9317,0.926536537650403,0.936528567826964
-0.2,100,5,"stuCI","phi",0.9476,0.943006200381585,0.951846112637627
-0.2,100,5,"pctCI","phi",0.9669,0.963157939569552,0.970278377115369
-0.2,100,5,"ctrCI","phi",0.8264,0.818800545082399,0.833747093000123
-0.2,100,5,"bcCI","phi",0.8437,0.836399851342221,0.85073433452138
-0.2,100,5,"bcaCI","phi",0.8382,0.830801564004028,0.845336900883501
-0.2,100,5,"propCI","phi",0.9361,0.931085231995624,0.940776353965781
-0.2,1600,12,"stdCI","phi",0.9485,0.943941399728795,0.95271018186283
-0.2,1600,12,"stuCI","phi",0.9499,0.945396885284869,0.954053556510763
-0.2,1600,12,"pctCI","phi",0.915,0.909321949102345,0.920356418572816
-0.2,1600,12,"ctrCI","phi",0.8662,0.859335696582782,0.872780956407849
-0.2,1600,12,"bcCI","phi",0.8675,0.860662680349535,0.874052958020978
-0.2,1600,12,"bcaCI","phi",0.8667,0.859846050017979,0.873270212757904
-0.2,1600,12,"propCI","phi",0.9478,0.943213991282251,0.952038159282391
-0.2,1600,24,"stdCI","phi",0.9436,0.938853965688844,0.94800158697192
-0.2,1600,24,"stuCI","phi",0.9477,0.943110093621107,0.951942138176808
-0.2,1600,24,"pctCI","phi",0.9386,0.933672559176654,0.943187020905572
-0.2,1600,24,"ctrCI","phi",0.9165,0.910865316874356,0.921811864570872
-0.2,1600,24,"bcCI","phi",0.9178,0.91220332196098,0.923072830733893
-0.2,1600,24,"bcaCI","phi",0.9166,0.910968226386517,0.921908875946987
-0.2,1600,24,"propCI","phi",0.9416,0.936780275903603,0.946076890425495
-0.2,200,12,"stdCI","phi",0.9259,0.920549460437469,0.930920266329426
-0.2,200,12,"stuCI","phi",0.9462,0.941552152724964,0.950501296166016
-0.2,200,12,"pctCI","phi",0.9458,0.941136864847053,0.950116908170437
-0.2,200,12,"ctrCI","phi",0.8784,0.871797544449419,0.884709578203563
-0.2,200,12,"bcCI","phi",0.8949,0.888685497801455,0.900808698789775
-0.2,200,12,"bcaCI","phi",0.8923,0.886021526134705,0.898274710640273
-0.2,200,12,"propCI","phi",0.9286,0.923335347067404,0.933532230744024
-0.2,200,6,"stdCI","phi",0.9405,0.935640396750503,0.945017655521359
-0.2,200,6,"stuCI","phi",0.949,0.944461112519045,0.95319006229123
-0.2,200,6,"pctCI","phi",0.9567,0.952480218572283,0.960564646171603
-0.2,200,6,"ctrCI","phi",0.8479,0.840676981817552,0.85485393481109
-0.2,200,6,"bcCI","phi",0.8608,0.853825824604413,0.867495040888809
-0.2,200,6,"bcaCI","phi",0.8577,0.850664315014206,0.864458967344061
-0.2,200,6,"propCI","phi",0.9408,0.935951228139417,0.945306582618196
-0.2,3200,15,"stdCI","phi",0.9472,0.942590671402201,0.951461966383575
-0.2,3200,15,"stuCI","phi",0.9485,0.943941399728795,0.95271018186283
-0.2,3200,15,"pctCI","phi",0.8972,0.891043042227562,0.903049348385442
-0.2,3200,15,"ctrCI","phi",0.8462,0.838945541362011,0.853186698704317
-0.2,3200,15,"bcCI","phi",0.8469,0.839658450725651,0.853873244425224
-0.2,3200,15,"bcaCI","phi",0.8461,0.838843701342088,0.853088616565969
-0.2,3200,15,"propCI","phi",0.945,0.940306490212699,0.949347930534741
-0.2,3200,30,"stdCI","phi",0.9412,0.936365722026615,0.945691766588441
-0.2,3200,30,"stuCI","phi",0.944,0.939268891980048,0.948386337480964
-0.2,3200,30,"pctCI","phi",0.9338,0.928706736778172,0.938556690550075
-0.2,3200,30,"ctrCI","phi",0.9106,0.904797617945094,0.916084224783229
-0.2,3200,30,"bcCI","phi",0.9129,0.907162083279775,0.918317943762016
-0.2,3200,30,"bcaCI","phi",0.9126,0.906853610233007,0.918026653736844
-0.2,3200,30,"propCI","phi",0.9403,0.935433194277224,0.944825018960558
-0.2,400,15,"stdCI","phi",0.9361,0.931085231995624,0.940776353965781
-0.2,400,15,"stuCI","phi",0.9481,0.943525710915456,0.952326195876953
-0.2,400,15,"pctCI","phi",0.9471,0.942486800093137,0.951365918854903
-0.2,400,15,"ctrCI","phi",0.8991,0.892991274243572,0.904899623577578
-0.2,400,15,"bcCI","phi",0.9058,0.899866624168578,0.91141900251219
-0.2,400,15,"bcaCI","phi",0.9051,0.899147906034109,0.910738271914429
-0.2,400,15,"propCI","phi",0.9359,0.93087833748146,0.940583408747233
-0.2,400,8,"stdCI","phi",0.9409,0.936054846018378,0.945402884216908
-0.2,400,8,"stuCI","phi",0.9466,0.94196750858109,0.950885616004723
-0.2,400,8,"pctCI","phi",0.9442,0.939476379177459,0.948578688623185
-0.2,400,8,"ctrCI","phi",0.8604,0.853417824857066,0.867103352546049
-0.2,400,8,"bcCI","phi",0.8689,0.862091977102961,0.875422568372113
-0.2,400,8,"bcaCI","phi",0.8662,0.859335696582782,0.872780956407849
-0.2,400,8,"propCI","phi",0.9402,0.93532959855038,0.944728695157395
-0.2,800,10,"stdCI","phi",0.9488,0.94425321374584,0.952998123814779
-0.2,800,10,"stuCI","phi",0.9529,0.948518933408392,0.956929056927797
-0.2,800,10,"pctCI","phi",0.9364,0.931395598817207,0.941065746688475
-0.2,800,10,"ctrCI","phi",0.8727,0.865972763810653,0.879138813994164
-0.2,800,10,"bcCI","phi",0.8743,0.86760734578491,0.88070298190836
-0.2,800,10,"bcaCI","phi",0.8727,0.865972763810653,0.879138813994164
-0.2,800,10,"propCI","phi",0.948,0.943421799917366,0.952230188144581
-0.2,800,19,"stdCI","phi",0.9403,0.935433194277224,0.944825018960558
-0.2,800,19,"stuCI","phi",0.9457,0.941033053416097,0.950020800605489
-0.2,800,19,"pctCI","phi",0.9428,0.93802430329525,0.947231895290866
-0.2,800,19,"ctrCI","phi",0.9082,0.902331536188544,0.913752199374969
-0.2,800,19,"bcCI","phi",0.912,0.906236722628533,0.917444015106821
-0.2,800,19,"bcaCI","phi",0.9097,0.903872697568093,0.915209855181888
-0.2,800,19,"propCI","phi",0.939,0.93408673301928,0.943572525667916
-0.4,100,10,"stdCI","phi",0.9211,0.91560160665641,0.926271931560742
-0.4,100,10,"stuCI","phi",0.9551,0.950811348325954,0.959034835501468
